,0
31,"
メルカリを始めて3～4年経ちますが、初めて最低な購入者に出会いました。

男性の着物の帯を値引き相談等無しで即決で購入頂き、らくらくメルカリ便で発送しました。
次の日、｢取引画面では配達完了とありますが、宅配ボックスに入っていません｣と連絡がありました。
急いでヤマトさんに調べて頂いたのですが、一戸建ての玄関に備え付けてある自作の宅配ボックスに確実に入れたとのこと。

その時、配送担当の方から聞いたのですが、どうも、その購入者さん、現場の方々の評判が宜しくないよう。
｢絶対おかしいよね？｣と持ちきりだったそうです。

その一連の流れを運営に報告すると、｢力の及ばない出来事ですので、取引キャンセルにします。購入者には全額補償。出品者には手数料と送料を差し引いた分を入金しますので、これで収めてください｣とのこと。
送料はしょうがないとして、こちらに非があるならその提案も納得出来ますが、今回のケースは有り得ません。

消費者生活センターに相談すると、｢有り得ない!!“売場を与えてやってるだろ？”という考えだということがよく分かります｣と同じ見解。
ただ、法的拘束力がないので、罰することは出来ないそうです。

運営に、消費者生活センターに相談したことも報告しましたが、｢あ、そうですか｣みたいな返答。

メルカリやってる回りに聞いてみると、｢最近、ホント質が落ちたよね｣とそれなりに経験がありました。(それで実際辞めた人もいる)

精神衛生上宜しくないですが、利用者が一番多いのは否めません。
心はメルカリにありませんが、売る為に続けてる状態です。
"
32,"
民度について。
日時などは関係なく非常識な人間は度々出現する。以下は実際にあったやり取り。

例1）

私　3000円で出品

購入希望者「2000円で譲ってください」

私　「いきなりそこまでの値下げは不可能です」

希望者「毎日値下げしてください」

例2）

私　4000円で出品

希望者「コメント失礼致します。購入を考えているのですがこちらの商品値下げは可能でしょうか」（←この文章はテンプレとして出回っているものです）

私「こちらの商品は値下げは考えておりません」

希望者「2000円にしていただけたら即購入します」

例3）

私　8500円で出品

希望者「こちらの商品お値下げは可能でしょうか？7000円ではご無理でしょうか？宜しくお願いいたします」

例4）

私　650円で出品

希望者「こんにちは！300円購入希望なのですがご検討の程宜しくお願いします」

こんな人間が平気で居る。

運営について。
本人確認の手続きは必須ではないとされているが、実際に本人確認の有無で利用制限の対象になる。私の場合は何の規約違反もなければ取引評価もマイナスが一つもないにも関わらずいきなり制限された。
到底納得いかないし、仮に制限の対象になるのであれば前もって「何時までに本人確認しないと制限かける」という警告があってもいいのではないか。

以上の二つのことからもう利用は止めた。精神衛生に悪い。
"
33,"
発送料金の値上げにより出品者の利益もほとんどなく、売れてもお小遣い程度です。購入者はお客様は神様だと思っている方が多く・なぜか上から目線。購入してやってる感が伝わる。しかし、出品者からしたら嫌なら別の出品者から購入すればいい、と思っている・温度差がとてもあります。顔も見えない、文書のみなので態度も大きくなる。値下げは当たり前・何なら出品者の立場なんてどうでもいい感があります。無茶苦茶な値下げ交渉や記載されているのに届いてから違うなど、精神的に疲れます。最後の評価も私には似合わない商品が届いた。など、そんなの知らないし、そんなことまで考えて出品者はできません
"
34,"
最近のメルカリの運営対応がヤバすぎる❗️

今はシェアNo1のようですが、もう少しまともな対応をする運営・フリマサイトが登場してほしい。

★ 違反商品ではないのに一方的に圏外飛ばし・出品停止→運営に問い合わせ→何の通知・謝罪もなく解除 (複数回経験)

★ イベントに登録 条件を満たしているのにポイント付与されず→運営に問い合わせ→何の通知・謝罪もなくポイント付与 (複数回経験)

★ メルカリ側の通信不具合で出品者とトラブル→ 運営に問い合わせ→ 当人同士で解決を→
解決せず再度問い合わせ→ 更に当人同士で解決を→ 再再度運営に問い合わせ→ ようやく 見事な2枚舌を使い解決(解決したから良いが)

いつも一方的に圏外飛ばしや商品削除をするくせに

①レスポンスが遅い
②理由の開示をしない
③決まったテンプレのみの回答
④同じミスが繰り返されてもテンプレの謝罪

AI任せなのはよくわかるが、この対応なら100％ AIにお任せしたほうがミスを学習するだけまだマシ❗️

今は利用者数の多さから仕方なく利用しているが、安心して出品・購入できないので早く別なサイトがこれらを改善・躍進して とってかわってほしい。
"
35,"
事務局の問合先がない、メールの問合フォームへと出てきて、テンプレ質疑に戻される無限ループでメールすら送れない
"
36,"
商品の説明欄で､関係ないアニメのタイトル､洋服のブランドを複数記載する人が多くいるので､本来の検索機能を無にしてる。
"
37,"
最近、出品者の質がかなり悪い❗️コピー物もかなり出てるし返品もすんなりいきません。何やかんや言うて言い訳ばかりで逃げますよ❗️A○○zonで買ったから私も分からないとか‼️メルカリ自体もすんなり返金処理しない‼️時間もかかる面倒です。
"
38,"
トラブルがあると
自動返信で全く機能しない

送料まで手数料が発生するので

逆にリサイクルショップでも手間を考えたら
良く感じてきた
"
39,"
購入者として利用していました。

優良な出品者さんから価値のあるものを購入することは出来る。その点だけは高評価。
しかし、悪質な出品者の横行、またそれを事実上野放しにする事務局の姿勢にがっかり。
キャンプなどに使用する刃物類を探していたら明らかに販売規制に抵触する物が多数出品されていた。メルカリは日頃ユーザーに対して変に厳しくまたころころ内容が変わる利用規約を適応させている割に、こうした商品は取り締まらない。
また、出品者がユーザー情報、及び商品説明欄に「ノークレーム・ノーリターン」と記載することは規約上禁止されている。にもかかわらず、かなり多くの出品者がこの文言を記載している。
明らかにアウトだと分かる行為が黙認されているのは何故なのか。事務局の取り締まりが杜撰なのか、それとも他に営利的な理由があるのか。いずれにせよいい加減な運営がされていると感じてしまう。
現時点で大きなトラブルに見舞われた経験は無いが、運営がこの様子では今後何が起こるかわからない。利用はやめた。
"
40,"
退会しても自分のマイナンバーや顔写真、住所や生年月日が、いつまでもメルカリに残り、削除する方法はなく、流出する可能性があるのは怖いです。その点を柔軟な方法に変えてもらえればバッチリと感じました。　　←　マイナンバーカードと同じで１０００ポイントプレゼントとかに釣られて
マイナンバーカードとか提出している人間が悪いだけでは。

メルカリって別に本人確認必須でないのでもちろん本人確認していないし
マイナンバーカードも保険証紐づけで７０００円とか、信用もない日本政府がやっているけど、
もちろんそんなのに釣られて作ってないし

昼間いる層は民度低いだろうな、無職とかパートだろうし
夜とかは民度は特に低いと感じない
"
